name,Starting place,Ending place,Via,stops,type,comments
C7,Periar,Periar,"Therku Vasal, Krishnapuram Colony, Mahatma Gandhi Nagar, Anaiyur, Arapalayam, Arasaradi","Periar, Therku Vasal, Krishnapuram Colony, Mahatma Gandhi Nagar, Anaiyur, Arapalayam, Arasaradi, Periar",DLX,
C8,Periar,Periar,"Arapalayam, Anaiyur, Mahatma Gandhi Nagar, Krishnapuram Colony, Therku Vasal","Periar, Arapalayam, Anaiyur, Mahatma Gandhi Nagar, Krishnapuram Colony, Therku Vasal, Periar",,
C9,Thiruparankundram,Thiruparankundram,"Pasumalai, Palanganatham, Periar, Avaniapuram","Thiruparankundram, Pasumalai, Palanganatham, Periar, Avaniapuram, Thiruparankundram",Marcopolo,
C10,Thiruparankundram,Thiruparankundram,"Avaniapuram, Periar, Palanganatham, Pasumalai","Thiruparankundram, Avaniapuram, Periar, Palanganatham, Pasumalai, Thiruparankundram",Marcopolo,
C16K,Mattuthavani,Mattuthavani,"Pudhur, BB Kulam, Mahatma Gandhi Nagar, Koodal Nagar, Arapalam, Simmakkal, Goripalayam, Court","Mattuthavani, Pudhur, BB Kulam, Mahatma Gandhi Nagar, Koodal Nagar, Arapalam, Simmakkal, Goripalayam, Court, Mattuthavani",DLX,
C17,Periar,Periar,"Arasaradi, Thembavani, Arapalayam, Guru Theatre, Alamaram, Thathaneri, Sellur, Therku Vasal","Periar, Arasaradi, Thembavani, Arapalayam, Guru Theatre, Alamaram, Thathaneri, Sellur, Therku Vasal, Periar",,
C18,Periar,Periar,"Therku Vasal, Sellur, Thathaneri, Alamaram, Guru Theatre, Arapalayam, Thembavani, Arasaradi","Periar, Therku Vasal, Sellur, Thathaneri, Alamaram, Guru Theatre, Arapalayam, Thembavani, Arasaradi, Periar",,
48H,Periar,J.Alankulam,,"Periar, , J.Alankulam",,
48I,Periar,Nedunkulam,,"Periar, , Nedunkulam",,
48K,Periar,PachakopanPatti,,"Periar, , PachakopanPatti",,
48KT,Thirumangalam,Koodal Nagar,"Tirunagar, Thiruparankundram, Palanganatham","Thirumangalam, Tirunagar, Thiruparankundram, Palanganatham, Koodal Nagar",,
48N,Periar,MelaKottai,,"Periar, , MelaKottai",Normal,
48P,Thapal Thanthi Nagar,Thirumangalam,"Goripalayam, Simmakkal, Periar, Vasantha Nagar, Palanganatham, TPK, Thirunagar 2 and 3, Kappalur","Thapal Thanthi Nagar, Goripalayam, Simmakkal, Periar, Vasantha Nagar, Palanganatham, TPK, Thirunagar 2 and 3, Kappalur, Thirumangalam","LSS,City Express, Deluxe",
48PT,Periar,Thirumangalam,"Palanganatham, Thiruparankundram, Thirunagar","Periar, Palanganatham, Thiruparankundram, Thirunagar, Thirumangalam",DLX,
48S,Periar,PullaMuthur,Thirumangalam,"Periar, Thirumangalam, PullaMuthur",,
48S,Periar,Polnayakanpatti,"Thirumangalam, S.Pullamuthur, Sathankudi","Periar, Thirumangalam, S.Pullamuthur, Sathankudi, Polnayakanpatti",,
48T,Periar,PunganKulam,Thirumangalam,"Periar, Thirumangalam, PunganKulam",,
48U,Periar,Maikudi,,"Periar, , Maikudi",,
48V,Periar,Appakarai,"Thirumangalam, A.Thottiyam, T.Pudhupatti","Periar, Thirumangalam, A.Thottiyam, T.Pudhupatti, Appakarai",,
48W,Periar,A.Valayapatti,,"Periar, , A.Valayapatti",,
48X,Periar,SamathuvaPuram,,"Periar, , SamathuvaPuram",,
48Y,Mattuthavani,Thirumangalam,,"Mattuthavani, , Thirumangalam","City Express, City Express(T), Deluxe",
48Z,Meenambalpuram,Thirumangalam,"Mahatma Gandhi Nagar, Goripalayam, Simmakkal, Railway Station, Periar, Thirumangalam","Meenambalpuram, Mahatma Gandhi Nagar, Goripalayam, Simmakkal, Railway Station, Periar, Thirumangalam, Thirumangalam",Deluxe,
48AA,Periar,Kilavaneri,,"Periar, , Kilavaneri",,
48AB,Thirumangalam,Iyer Bunglow,"Thirunagar, Periar, Simmakkal, Goripalayam","Thirumangalam, Thirunagar, Periar, Simmakkal, Goripalayam, Iyer Bunglow",Deluxe,
48AB,Thirumangalam,Krishnanagar,"Periar, Simmakkal, Iyer Bunglow","Thirumangalam, Periar, Simmakkal, Iyer Bunglow, Krishnanagar",Deluxe,
48AC,Oomachikulam,Thirumangalam,"Thirunagar, Periar, Simmakkal, Goripalayam","Oomachikulam, Thirunagar, Periar, Simmakkal, Goripalayam, Thirumangalam",Deluxe,
48AD,Arapalayam,Thirumangalam,"Guru Theatre, Kalavasal, TNSTC HO, Palanganatham,Bye pass, TPK, Thirunagar 2 and 3, Kappalur","Arapalayam, Guru Theatre, Kalavasal, TNSTC HO, Palanganatham,Bye pass, TPK, Thirunagar 2 and 3, Kappalur, Thirumangalam",Deluxe,
48AE,Periar,Vadakampatti,,"Periar, , Vadakampatti",,
48AE,Periar,Kallikudi,,"Periar, , Kallikudi",,
48AG,Periar,T.Kallupatti,"Thirumangalam, T.Pudhupatti, T.Kunnathur","Periar, Thirumangalam, T.Pudhupatti, T.Kunnathur, T.Kallupatti",Deluxe,
48AH,Periar,DevanKurichi,T.Kallupatti,"Periar, T.Kallupatti, DevanKurichi",,
48AI,Mattuthavani,Thirumangalam,Pudhur,"Mattuthavani, Pudhur, Thirumangalam",Deluxe,
48AK,Periar,Kurayur,,"Periar, , Kurayur",,
48AM,Periar,Mechikulam,,"Periar, , Mechikulam",,
48AM,Periar,Melendhal,,"Periar, , Melendhal",,
48AX,Periar,T.Kallupatti,,"Periar, , T.Kallupatti",Deluxe,
48IK,Periar,Kallanai,,"Periar, , Kallanai",,
48 Kn,Periar,KangeyaNatham,"Thirumangalam, Pannikundu","Periar, Thirumangalam, Pannikundu, KangeyaNatham",,
48KV,Periar,K.Vellalakulam,"Thirumangalam, Sivarakottai, Kallikudi","Periar, Thirumangalam, Sivarakottai, Kallikudi, K.Vellalakulam",Deluxe,
48SK,Periar,"T,Paraipatti",Thirumangalam,"Periar, Thirumangalam, T,Paraipatti",,
48SV,Periar,S.Valayapatti,"Thirumangalam, Sowdarpatti","Periar, Thirumangalam, Sowdarpatti, S.Valayapatti",,
48SV,Periar,Thoombakulam,"Thirumangalam, Gandhi Silai","Periar, Thirumangalam, Gandhi Silai, Thoombakulam",,
48VP,Periar,Ma.Perumalpatti,"Thirumangalam, T.Pudhupatti","Periar, Thirumangalam, T.Pudhupatti, Ma.Perumalpatti",,
48VS,Periar,ChithiraReddyPatti,,"Periar, , ChithiraReddyPatti",,
48ZA,Meenambalpuram,,"Mahatma Gandhi Nagar, Goripalayam, Simmakkal, Railway Station, Periar, Thirumangalam","Meenambalpuram, Mahatma Gandhi Nagar, Goripalayam, Simmakkal, Railway Station, Periar, Thirumangalam, ",Deluxe,
48ZS,Meenambalpuram,Sathankudi,"Mahatma Gandhi Nagar, Goripalayam, Simmakkal, Railway Station, Periar, Thirumangalam","Meenambalpuram, Mahatma Gandhi Nagar, Goripalayam, Simmakkal, Railway Station, Periar, Thirumangalam, Sathankudi",Deluxe,
49,Pudhur,Thirumangalam,"Therku Vasal, Crime branch","Pudhur, Therku Vasal, Crime branch, Thirumangalam",,
49M,Mattuthavani,Thirumangalam,"Anna Nagar, Therku Vasal, Crime branch","Mattuthavani, Anna Nagar, Therku Vasal, Crime branch, Thirumangalam",Deluxe,
50,Thirumangalam,Anupanadi,"Thiru Nagar, Periar, Therku Vasal, Kilakku vasal, Theppakulam","Thirumangalam, Thiru Nagar, Periar, Therku Vasal, Kilakku vasal, Theppakulam, Anupanadi",SLF,
53,Periar,Thirumangalam,"Palanganatham, Thirunagar, Austinpatti","Periar, Palanganatham, Thirunagar, Austinpatti, Thirumangalam",,
77BNS,Arapalayam,Mattuthavani,"Cross Road, Simmakkal, Goripalayam, Thallakulam, Court","Arapalayam, Cross Road, Simmakkal, Goripalayam, Thallakulam, Court, Mattuthavani",,5-10 Min
48NS,Arapalayam,Thirumangalam,"Arasaradi, Periar, Vasantha Nagar, Palanganatham, Pasumalai, Thiruparankundram, Thirunagar, Kappalur, KoothiyarKundu","Arapalayam, Arasaradi, Periar, Vasantha Nagar, Palanganatham, Pasumalai, Thiruparankundram, Thirunagar, Kappalur, KoothiyarKundu, Thirumangalam",,30 Min
N4CNS,Arapalayam,Mattuthavani,"Periar, Therku Vasal, Theppakulam, Anna Nagar","Arapalayam, Periar, Therku Vasal, Theppakulam, Anna Nagar, Mattuthavani",,3/4 buses running
700NS,Periar,Mattuthavani,"Simmakkal, Goripalayam, Thallakulam, Court","Periar, Simmakkal, Goripalayam, Thallakulam, Court, Mattuthavani",,2 buses
4NS,Arapalayam,Viraganoor Ring Road,"Bye Pass, Periar, Therku Vasal, Theppakulam, Iravathanallur, Viraganoor Ring Road","Arapalayam, Bye Pass, Periar, Therku Vasal, Theppakulam, Iravathanallur, Viraganoor Ring Road, Viraganoor Ring Road",,Proposed and havent seen at BS
